song_title,artist,city,weather_main,temperature,ingested_at,lyrics_preview,row_num,song_mood,weather_mood
Wildflower,Billie Eilish,Miami,Clouds,79.86,2025-05-19 04:24:08.939532 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 04:24:08.938108 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 04:24:08.943278 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,46.17,2025-05-19 04:24:10.827578 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 04:24:10.807196 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 04:24:10.830619 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 04:24:10.822257 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 04:24:12.752747 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 04:24:12.767402 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 04:24:12.779687 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,52.38,2025-05-19 04:24:12.786272 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Test Song,Test Artist,Seattle,Rain,58,2025-05-19 04:34:47.150105 UTC,"I cry every night, alone in the dark",,,
Test Song,Test Artist,Seattle,Rain,58,2025-05-19 04:34:47.149606 UTC,"I cry every night, alone in the dark",,,
Test Song,Test Artist,Seattle,Rain,58,2025-05-19 04:34:47.126347 UTC,"I cry every night, alone in the dark",,,
Test Song,Test Artist,Seattle,Rain,58,2025-05-19 04:34:47.170311 UTC,"I cry every night, alone in the dark",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 04:44:43.918261 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,64.02,2025-05-19 04:44:43.900188 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 04:44:43.834213 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 04:44:43.863163 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 04:44:45.896392 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 04:44:45.906371 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,60.37,2025-05-19 04:44:45.913359 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 04:44:45.906221 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 04:44:47.847264 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 04:44:47.876148 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 04:44:47.875711 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,79.48,2025-05-19 04:44:47.862686 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
No One Noticed,The Marías,Chicago,Clouds,46.08,2025-05-19 04:44:49.361792 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 04:44:49.362632 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 04:44:49.336968 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 04:44:49.378428 UTC,"Maybe I
Lost my mind
No one noticed",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 04:44:51.444438 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 04:44:51.46361 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 04:44:51.479956 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,51.17,2025-05-19 04:44:51.495 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 04:44:51.822245 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 04:44:51.846403 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,79,2025-05-19 04:44:51.843725 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 04:44:51.846004 UTC,Lyrics preview unavailable.,,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 04:44:53.445137 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 04:44:53.464549 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 04:44:53.457933 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,70,2025-05-19 04:44:53.459884 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 04:44:56.180466 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 04:44:56.190029 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,56.41,2025-05-19 04:44:56.200757 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 04:44:56.19263 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 04:44:58.191206 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 04:44:58.213992 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,51.6,2025-05-19 04:44:58.217014 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 04:44:58.223182 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 04:45:01.154683 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 04:45:01.171351 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,58.71,2025-05-19 04:45:01.174637 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
guess featuring billie eilish,Charli XCX,Boston,Clouds,,2025-05-19 04:45:01.173998 UTC,"Hey, Billie, you there?
Uh-uh
You wanna guess the colour of my underwear",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 04:45:04.428713 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,64.02,2025-05-19 04:45:04.459495 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 04:45:04.45281 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Die With A Smile,Lady Gaga,New York,Clouds,,2025-05-19 04:45:04.986701 UTC,"(Ooh, ooh)
I, I just woke up from a dream
Where you and I had to say goodbye",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 04:45:05.935862 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 04:45:05.956647 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,,2025-05-19 04:45:05.957307 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Von Dutch,Charli XCX,Los Angeles,Clear,60.37,2025-05-19 04:45:05.959525 UTC,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 04:45:10.336851 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 04:45:10.358511 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,79.48,2025-05-19 04:45:10.35816 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Poker Face,Lady Gaga,Miami,Clouds,,2025-05-19 04:45:10.364708 UTC,"Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 04:45:12.730491 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,46.08,2025-05-19 04:45:12.753143 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 04:45:12.758322 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
Judas,Lady Gaga,Chicago,Clouds,,2025-05-19 04:45:12.762749 UTC,"Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah",,,
505,Arctic Monkeys,Seattle,Clouds,51.17,2025-05-19 04:45:15.009916 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 04:45:14.995688 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 04:45:15.010207 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
505,Arctic Monkeys,Seattle,Clouds,,2025-05-19 04:45:15.02037 UTC,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,,2025-05-19 04:45:17.882938 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,,2025-05-19 04:45:17.911173 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,,2025-05-19 04:45:17.911783 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
tAsTe,Sabrina Carpenter,Austin,Clouds,79,2025-05-19 04:45:17.907816 UTC,"D.A.
Hah
Slide on it pimp game with my pinky ring",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 04:45:24.257977 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 04:45:24.27553 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,,2025-05-19 04:45:24.279453 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Creep,Radiohead,Atlanta,Clear,70,2025-05-19 04:45:24.299873 UTC,"When you were here before, couldn't look you in the eye
You're just like an angel, your skin makes me cry
You float like a feather in a beautiful world",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 04:45:26.259233 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 04:45:26.284319 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,,2025-05-19 04:45:26.291605 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Pink + White,Frank Ocean,San Francisco,Clear,56.41,2025-05-19 04:45:26.299991 UTC,"Yeah, yeah, oh (Woo)
Yeah, yeah, yeah
That's the way every day goes",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 04:45:28.791273 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 04:45:28.80633 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,,2025-05-19 04:45:28.810751 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
Like Him (feat. Lola Young),"Tyler, the Creator",Denver,Clouds,51.6,2025-05-19 04:45:28.900411 UTC,"Damn, nigga, every time I look at you, I swear to God
Nigga, you got that nigga feet
You got that nigga body",,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 04:45:29.18307 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,58.71,2025-05-19 04:45:29.203739 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 04:45:29.204987 UTC,Lyrics preview unavailable.,,,
All The Stars (with SZA),Kendrick Lamar,Boston,Clouds,,2025-05-19 04:45:29.206546 UTC,Lyrics preview unavailable.,,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:45:33.072652 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:45:33.087924 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:45:33.091986 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,64.02,2025-05-19 04:45:33.088401 UTC,"Gaga talked to Grazia about writing this record saying:
Oh, caught in a bad romance
Oh, caught in a bad romance",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 04:45:35.286541 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,60.37,2025-05-19 04:45:35.3023 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 04:45:35.309482 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Ribs,Lorde,Los Angeles,Clear,,2025-05-19 04:45:35.313731 UTC,"The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 04:45:36.731133 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,79.48,2025-05-19 04:45:36.743777 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 04:45:36.752726 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Wildflower,Billie Eilish,Miami,Clouds,,2025-05-19 04:45:36.752443 UTC,"Things fall apart
And time breaks your heart
I wasn't there, but I know",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 04:45:38.728207 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,46.08,2025-05-19 04:45:38.755466 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 04:45:38.74944 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Pink Pony Club,Chappell Roan,Chicago,Clouds,,2025-05-19 04:45:38.752536 UTC,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A.
And I heard that there's a special place",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 04:45:40.857181 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 04:45:40.878051 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,,2025-05-19 04:45:40.888244 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Lovers Rock,TV Girl,Seattle,Clouds,51.17,2025-05-19 04:45:40.899133 UTC,"Are you sick of me?
Would you like to be?
I'm tryin' to tell you somethin'",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:51:09.192008 UTC,"Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:51:09.210983 UTC,"Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,,2025-05-19 04:51:09.211916 UTC,"Oh, caught in a bad romance",,,
Bad Romance,Lady Gaga,New York,Clouds,64.02,2025-05-19 04:51:09.227396 UTC,"Oh, caught in a bad romance",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,62.98,2025-05-19 05:13:58.101065 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,Neutral,Calm
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 05:13:58.636194 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 05:13:58.752742 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,,2025-05-19 05:13:58.766512 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
"Good Luck, Babe!",Chappell Roan,New York,Clouds,62.98,2025-05-19 05:13:59.685495 UTC,"It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 05:14:00.12386 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,59.56,2025-05-19 05:14:00.150788 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 05:14:00.151204 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,,2025-05-19 05:14:00.228938 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,,
BIRDS OF A FEATHER,Billie Eilish,Los Angeles,Clear,59.56,2025-05-19 05:14:00.782144 UTC,"(But I wanna stay)
I want you to stay
'Til I'm in the grave",,Neutral,Happy
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 05:14:02.330347 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,79.18,2025-05-19 05:14:02.376553 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 05:14:02.381689 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,,2025-05-19 05:14:02.387964 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,,
Abracadabra,Lady Gaga,Miami,Clouds,79.18,2025-05-19 05:14:02.394355 UTC,"Abracadabra, abracadabra
Abracadabra, abracadabra
Pay the toll to the angels",,Neutral,Calm
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 05:14:03.879578 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 05:14:03.906607 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,46.09,2025-05-19 05:14:03.937451 UTC,"Maybe I
Lost my mind
No one noticed",,Neutral,Calm
No One Noticed,The Marías,Chicago,Clouds,46.09,2025-05-19 05:14:03.967816 UTC,"Maybe I
Lost my mind
No one noticed",,,
No One Noticed,The Marías,Chicago,Clouds,,2025-05-19 05:14:03.980714 UTC,"Maybe I
Lost my mind
No one noticed",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,50.72,2025-05-19 05:14:06.148704 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 05:14:06.144237 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,50.72,2025-05-19 05:14:06.173329 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,Neutral,Calm
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 05:14:06.110709 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
See You Again (feat. Kali Uchis),"Tyler, the Creator",Seattle,Clouds,,2025-05-19 05:14:06.154317 UTC,"Okay, okay, okay, okay, okay, okay, o—
You live in my dream state
Relocate my fantasy",,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 05:14:06.517629 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 05:14:06.553145 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,78.84,2025-05-19 05:14:06.565442 UTC,Lyrics preview unavailable.,,Neutral,Calm
luther (with SZA),Kendrick Lamar,Austin,Clouds,78.84,2025-05-19 05:14:06.566408 UTC,Lyrics preview unavailable.,,,
luther (with SZA),Kendrick Lamar,Austin,Clouds,,2025-05-19 05:14:06.562431 UTC,Lyrics preview unavailable.,,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 05:14:08.97413 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,,2025-05-19 05:14:09.007943 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,69.35,2025-05-19 05:14:09.021857 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
What Was That,Lorde,Atlanta,Clear,69.35,2025-05-19 05:14:09.046796 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,Neutral,Happy
What Was That,Lorde,Atlanta,Clear,,2025-05-19 05:14:09.032922 UTC,"A place in the city
A chair and a bed
I cover up all the mirrors",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 05:14:11.993316 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,56.64,2025-05-19 05:14:12.026763 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 05:14:12.030396 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,,2025-05-19 05:14:12.044315 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,,
espresso,Sabrina Carpenter,San Francisco,Clear,56.64,2025-05-19 05:14:12.046326 UTC,"Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know",,Mysterious,Happy
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 05:14:14.248465 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 05:14:14.222765 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,51.26,2025-05-19 05:14:14.255885 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
Party 4 U,Charli XCX,Denver,Clouds,,2025-05-19 05:14:14.340126 UTC,"I only threw this party for you
Only threw this party for you, for you, for you
I was hopin' you would come through",,,
